stop,target,B,trades,wr,net,pf,sharpe,max_dd,n_target,n_stop,n_BE,n_time,pct_target,pct_stop,pct_BE,pct_time,worst_loss_streak
30,20,none,1394,0.772596843615495,19690.0,1.9902434117883725,5.345728977171701,-455.0,1068,308,0,18,76.61406025824964,22.094691535150645,0.0,1.291248206599713,5
30,20,5,1394,0.25968436154949787,6694.0,2.0073739653875093,3.5390095438728593,-617.5,360,41,987,6,25.82496413199426,2.941176470588235,70.80344332855093,0.430416068866571,60
30,20,10,1394,0.3464849354375897,7148.5,1.6797736782046406,2.9043946682213666,-786.5,476,113,792,13,34.146341463414636,8.106169296987087,56.81492109038737,0.9325681492109038,27
30,20,15,1394,0.5494978479196556,13451.0,1.9202928297755884,4.338314648986863,-437.0,757,200,421,16,54.30416068866572,14.347202295552366,30.20086083213773,1.1477761836441895,10
40,20,none,1394,0.8106169296987088,20176.0,1.9446135118685333,4.932967136114249,-530.0,1121,251,0,22,80.41606886657102,18.00573888091822,0.0,1.5781922525107603,5
40,20,5,1394,0.2632711621233859,6719.0,1.9873622336517267,3.370516955544628,-817.5,365,33,990,6,26.18364418938307,2.3672883787661405,71.01865136298422,0.430416068866571,60
40,20,10,1394,0.35437589670014347,6835.5,1.6083570665717337,2.534623530117399,-1009.5,487,94,799,14,34.935437589670016,6.743185078909613,57.3170731707317,1.0043041606886656,27
40,20,15,1394,0.5681492109038737,13440.0,1.862146385271666,3.937633707254603,-597.0,783,163,430,18,56.16929698708751,11.69296987087518,30.84648493543759,1.291248206599713,9
