candidate,lookback,gap,min_size,period,n_trades,win_rate,net_dollars,avg_trade_dollars,profit_factor,max_drawdown_dollars,sharpe_approx,welch_p_train_vs_test,verdict
A,50,4.0,4,train,70,0.6571428571428571,1334.25,19.060714285714287,1.787865367581931,-356.0,4.341101724563944,0.7282387610258424,HOLDS
A,50,4.0,4,test,40,0.675,965.5,24.1375,1.9057223264540337,-250.0,5.075183117148432,,
B,50,4.0,3,train,149,0.610738255033557,2483.916666666666,16.67058165548098,1.656975975314084,-414.0,3.7805844687069703,0.5747084581092184,DECAYED
B,50,4.0,3,test,105,0.5904761904761905,1185.5,11.290476190476191,1.3362166761202496,-472.5,2.2819317086705366,,
C,200,7.0,2,train,472,0.5805084745762712,5253.041666666668,11.129325564971754,1.3381922555896832,-742.5,2.2862157857169905,0.6918181398851538,IMPROVED
C,200,7.0,2,test,542,0.5959409594095941,7083.0,13.068265682656827,1.397519362442474,-996.0,2.6554139859378343,,
D,200,3.0,3,train,188,0.5585106382978723,1569.5,8.34840425531915,1.2415172732168962,-738.0,1.6959271527194424,0.6165067561055096,IMPROVED
D,200,3.0,3,test,210,0.5952380952380952,2580.0,12.285714285714286,1.370157819225251,-616.0,2.4893074937226847,,
