stop,target,trades,wr,net,pf,sharpe,max_dd,pct_target,pct_stop,pct_time,avg_hold
20,20,1394,0.6915351506456241,18443.0,2.026978867945541,5.700549278662145,-394.0,68.57962697274031,30.55954088952654,0.860832137733142,5.368723098995696
20,30,1394,0.5552367288378766,18457.0,1.7137001662735394,4.252742951098059,-524.0,54.51936872309899,43.97417503586801,1.5064562410329985,8.522955523672884
20,40,1394,0.4748923959827834,19906.5,1.651998755383784,3.818981084922291,-564.0,45.91104734576758,51.93687230989957,2.1520803443328553,11.43974175035868
20,50,1394,0.40028694404591103,17794.0,1.5102661160816702,3.000961410564914,-770.0,37.94835007173601,59.32568149210904,2.72596843615495,14.986370157819225
20,60,1394,0.36441893830703015,19733.0,1.5337282267662014,2.9897709681795424,-730.5,33.428981348637016,62.91248206599713,3.6585365853658534,17.819942611190818
30,20,1394,0.772596843615495,21410.0,2.1122077922077924,5.871219747381099,-430.0,76.61406025824964,22.094691535150645,1.291248206599713,7.139885222381635
30,30,1394,0.633428981348637,19664.5,1.6372784133259877,3.9210046267822842,-650.0,62.12338593974175,35.294117647058826,2.582496413199426,11.66571018651363
30,40,1394,0.5502152080344332,20203.5,1.5337146178129417,3.3590134868759516,-673.5,52.72596843615494,43.25681492109039,4.017216642754662,15.784791965566715
30,50,1394,0.47560975609756095,17366.0,1.3934923979788367,2.5394947806895423,-925.0,43.97417503586801,50.3586800573888,5.667144906743185,20.594691535150645
30,60,1394,0.43902439024390244,19505.5,1.4131077059926085,2.5764527504061565,-920.5,38.95265423242468,53.87374461979913,7.173601147776183,24.106169296987087
40,20,1394,0.8106169296987088,21843.0,2.0485814411214056,5.385539461617223,-512.0,80.41606886657102,18.00573888091822,1.5781922525107603,9.337159253945481
40,30,1394,0.6800573888091822,19101.166666666668,1.5461090912556408,3.400035364850997,-884.0,66.42754662840747,30.129124820659968,3.443328550932568,15.025824964131994
40,40,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,3.013439394914792,-964.0,57.3170731707317,37.01578192252511,5.667144906743185,20.1090387374462
40,50,1394,0.5329985652797704,17423.166666666668,1.3433079916585935,2.2893143267642917,-1304.0,48.493543758967,43.40028694404591,8.106169296987087,25.84361549497848
40,60,1394,0.4964131994261119,19299.666666666668,1.3529253997909232,2.303831407679312,-1174.0,42.82639885222382,46.70014347202295,10.473457675753227,30.210186513629843
50,20,1394,0.8350071736011477,22110.5,2.0129420927249404,5.01898919513994,-498.5,82.78335724533716,14.8493543758967,2.3672883787661405,10.911047345767575
50,30,1394,0.7109038737446198,18238.666666666668,1.4770981383790385,2.960436932542249,-938.0,69.3687230989957,26.040172166427546,4.591104734576758,17.479913916786227
50,40,1394,0.6398852223816356,19420.666666666668,1.4098066040887816,2.659899703320179,-1032.0,60.40172166427546,32.1377331420373,7.4605451936872305,23.42467718794835
50,50,1394,0.5667144906743186,15223.166666666668,1.2678303859157325,1.8341818854915168,-1364.0,51.07604017216643,38.30703012912482,10.616929698708752,29.989239598278335
50,60,1394,0.5315638450502153,17425.666666666668,1.2840979183253132,1.9152911251221405,-1205.5,45.48063127690101,41.17647058823529,13.3428981348637,34.78335724533716
60,20,1394,0.8507890961262554,21870.0,1.9548342028858958,4.604480520028697,-458.5,84.36154949784792,12.769010043041607,2.8694404591104736,12.250358680057388
60,30,1394,0.7360114777618364,18014.166666666668,1.4462505212483538,2.7191015949176323,-1011.5,71.59253945480631,22.453371592539455,5.954088952654232,19.974175035868004
60,40,1394,0.667144906743185,19031.166666666668,1.3772706547811782,2.4315504618468378,-1200.5,62.69727403156384,27.905308464849355,9.397417503586802,26.573888091822095
60,50,1394,0.5968436154949784,14777.666666666668,1.2433505784193988,1.663701783513014,-1222.5,53.3715925394548,33.28550932568149,13.3428981348637,33.85509325681492
60,60,1394,0.5616929698708751,16569.166666666668,1.2516338545806145,1.7082436527660747,-1326.0,47.41750358680058,35.93974175035868,16.642754662840744,39.1987087517934
