lookback,gap,min_size,n_trades,win_rate,net_dollars,profit_factor,max_drawdown,sharpe_approx
50,2.0,2,491,0.5784114052953157,5560.75,1.362139984695788,-864.0,2.388475111831961
50,2.0,3,111,0.5675675675675675,995.1666666666661,1.295755114171083,-344.0,1.9423061534016313
50,2.0,4,21,0.5714285714285714,192.0,1.2867811799850635,-172.0,1.8803597075231253
50,2.0,5,5,0.8,155.5,2.8963414634146343,0.0,6.955517101544603
50,3.0,2,605,0.5537190082644629,4597.5,1.226961383242623,-1060.0,1.5836088748886379
50,3.0,3,186,0.6075268817204301,2829.416666666666,1.5439791079210456,-348.0,3.3123681616847724
50,3.0,4,74,0.6621621621621622,1398.25,1.7549946004319654,-586.0,4.23114414076136
50,3.0,5,22,0.5454545454545454,-42.5,0.9432197728790915,-422.0,-0.4189125692108185
50,4.0,2,680,0.5647058823529412,6185.5,1.2771002027125402,-1065.0,1.8971356802646937
50,4.0,3,254,0.6023622047244095,3669.416666666666,1.5021897310736525,-472.5,3.1181290546807943
50,4.0,4,110,0.6636363636363637,2299.75,1.833393730748324,-454.0,4.637832529262747
50,4.0,5,43,0.5581395348837209,80.5,1.0554789800137836,-524.0,0.401294652990737
50,5.0,2,751,0.5778961384820239,8044.56904761905,1.3344031031705021,-750.0,2.240665596778358
50,5.0,3,304,0.5756578947368421,3050.3190476190503,1.3242690914024275,-724.0,2.1444779355629238
50,5.0,4,137,0.656934306569343,2755.4857142857163,1.782900584890268,-520.0,4.437623128756757
50,5.0,5,63,0.6190476190476191,622.8607142857163,1.3391405636234952,-590.0,2.1681483436295
50,7.0,2,808,0.5816831683168316,9201.280952380956,1.357383774889924,-1050.0,2.3789675894527638
50,7.0,3,422,0.5639810426540285,3859.7809523809556,1.283583911979739,-778.0,1.9238772016710106
50,7.0,4,226,0.588495575221239,2636.6142857142877,1.381102528046386,-758.0,2.478240195318774
50,7.0,5,137,0.5474452554744526,648.9892857142877,1.1404165584857144,-606.0,0.9988072630753653
100,2.0,2,665,0.5714285714285714,6140.625,1.274232984994641,-1162.5,1.8976672194404833
100,2.0,3,206,0.558252427184466,1290.625,1.1818550091587996,-772.0,1.2944625897744595
