table,param,value,location,trades,wr,net,pf,sharpe,max_dd,pct_target,pct_stop,pct_time,avg_hold
A,entry_offset,-4.0,center,1394,0.6054519368723099,20502.0,1.4773568651190947,3.0646640482041865,-1124.0,57.46054519368723,36.872309899569586,5.667144906743185,20.12410329985653
A,entry_offset,-2.0,center,1394,0.6054519368723099,20499.166666666668,1.4772594107352812,3.06421353863221,-964.0,57.46054519368723,36.872309899569586,5.667144906743185,20.121233859397417
A,entry_offset,-1.0,center,1394,0.6047345767575323,20337.166666666668,1.4725635613732744,3.0389760905752414,-964.0,57.388809182209464,36.94404591104735,5.667144906743185,20.13271162123386
A,entry_offset,0.0,center,1394,0.6040172166427547,20175.166666666668,1.4678860075989781,3.0137614604642606,-964.0,57.3170731707317,37.01578192252511,5.667144906743185,20.134863701578194
A,entry_offset,1.0,center,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,3.013439394914792,-964.0,57.3170731707317,37.01578192252511,5.667144906743185,20.1090387374462
A,entry_offset,2.0,center,1394,0.6040172166427547,20109.0,1.4656370119946278,3.0023229792971247,-964.0,57.3170731707317,37.08751793400287,5.5954088952654235,20.073888091822095
A,entry_offset,4.0,center,1394,0.6040172166427547,20036.0,1.463946649377113,2.9921544498008847,-968.0,57.24533715925395,37.08751793400287,5.667144906743185,20.100430416068868
B,entry_location,center,center,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,3.013439394914792,-964.0,57.3170731707317,37.01578192252511,5.667144906743185,20.1090387374462
B,entry_location,low_edge,low_edge,1394,0.6040172166427547,20036.0,1.463946649377113,2.9921544498008847,-964.0,57.24533715925395,37.08751793400287,5.667144906743185,20.1090387374462
B,entry_location,high_edge,high_edge,1394,0.6054519368723099,20501.5,1.477339666352344,3.06458476688585,-964.0,57.46054519368723,36.872309899569586,5.667144906743185,20.116929698708752
