stop,target,pf_pessimistic,net_pessimistic,wr_pessimistic,pf_optimistic,net_optimistic,wr_optimistic,pf_spread,n_trades,n_target_exits,n_target_on_entry_bar,pct_target_on_entry_bar,n_ambiguous,pct_ambiguous,n_ambig_on_entry_bar
40,40,1.4678179267269869,20173.166666666668,0.6040172166427547,1.4678179267269869,20173.166666666668,0.6040172166427547,0.0,1394,799,44,5.506883604505632,0,0.0,0
40,20,2.0485814411214056,21843.0,0.8106169296987088,2.058508843799701,21963.0,0.8113342898134863,0.009927402678295394,1394,1121,352,31.400535236396077,1,0.07173601147776185,0
30,20,2.1122077922077924,21410.0,0.772596843615495,2.1568109820485746,21910.0,0.776183644189383,0.044603189840782154,1394,1068,350,32.77153558052434,5,0.3586800573888092,2
20,20,2.026978867945541,18443.0,0.6915351506456241,2.1936442548183024,20283.0,0.7080344332855093,0.16666538687276145,1394,956,337,35.25104602510461,23,1.6499282639885222,15
