param,value,n_trades,WR,net,PF,max_dd,Sharpe,is_baseline
entry_buffer,0.0,1394,0.6040172166427547,20175.166666666668,1.4678860075989781,-964.0,3.0137614604642606,False
entry_buffer,0.25,1394,0.6040172166427547,20174.666666666668,1.4678689867889088,-964.0,3.0136810830924445,False
entry_buffer,0.5,1394,0.6040172166427547,20174.166666666668,1.4678519663735627,-964.0,3.0136006130379123,False
entry_buffer,1.0,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,-964.0,3.013439394914792,True
entry_buffer,2.0,1394,0.6040172166427547,20109.0,1.4656370119946278,-964.0,3.0023229792971247,False
entry_buffer,4.0,1394,0.6040172166427547,20036.0,1.463946649377113,-968.0,2.9921544498008847,False
forced_exit,11:00,1394,0.6140602582496413,20937.666666666668,1.495614952164908,-854.5,3.1521795547347,False
forced_exit,11:30,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,-964.0,3.013439394914792,True
forced_exit,12:00,1394,0.6025824964131994,19862.666666666668,1.4551186334526098,-1034.0,2.9513536043549657,False
forced_exit,13:00,1393,0.6001435750179469,20418.166666666668,1.4616691978097762,-965.5,2.9171720369087453,False
forced_exit,RTH-close,1392,0.6027298850574713,20546.5,1.4596429610075836,-943.0,2.920098883493337,False
earliest_entry,09:45,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,-964.0,3.013439394914792,True
earliest_entry,09:50,1394,0.6219512195121951,24110.0,1.585059270313884,-895.0,3.6280081260106924,False
earliest_entry,10:00,1394,0.6133428981348638,22524.0,1.54195690619699,-1803.5,3.3962030330614352,False
