stop,target,train_n,train_wr,train_net,train_pf,train_mdd,test_n,test_wr,test_net,test_pf,test_mdd
20,20,188,0.601063829787234,1111.0,1.3526984126984127,-568.0,210,0.6238095238095238,1660.0,1.5003013863773358,-306.0
20,25,188,0.5212765957446809,916.5,1.2447589798370944,-745.5,210,0.5666666666666667,1890.0,1.4945054945054945,-276.0
20,30,188,0.4574468085106383,713.0,1.1688773093320701,-1029.5,210,0.5285714285714286,2280.0,1.5483405483405484,-272.0
20,35,188,0.4095744680851064,573.0,1.1245652173913043,-1219.5,210,0.5,2690.0,1.6099773242630386,-294.0
20,40,188,0.3723404255319149,493.0,1.1007355946056396,-1249.5,210,0.44285714285714284,2290.0,1.466015466015466,-312.0
20,45,188,0.34574468085106386,484.5,1.0949255485893417,-1238.0,210,0.41904761904761906,2560.0,1.499609679937549,-542.0
20,50,188,0.3351063829787234,834.5,1.160851966075559,-1208.0,210,0.40476190476190477,2940.0,1.56,-532.0
20,55,188,0.324468085106383,1125.0,1.213391502276176,-1198.0,210,0.38571428571428573,3116.5,1.5752122554448136,-522.0
20,60,188,0.31382978723404253,1267.5,1.2366504854368932,-1048.0,210,0.3523809523809524,2776.5,1.4860819327731092,-561.5
25,20,188,0.6223404255319149,721.0,1.1952871072589382,-758.0,210,0.6761904761904762,1860.0,1.5260180995475112,-264.0
25,25,188,0.5531914893617021,626.5,1.1449392712550608,-969.5,210,0.6142857142857143,1980.0,1.4700854700854702,-340.0
25,30,188,0.4946808510638298,483.0,1.0994236311239194,-1289.5,210,0.5714285714285714,2280.0,1.4871794871794872,-340.0
25,35,188,0.44680851063829785,323.0,1.0606458880961322,-1489.5,210,0.5476190476190477,2840.0,1.5748987854251013,-372.0
25,40,188,0.425531914893617,633.0,1.114383809179617,-1379.5,210,0.49047619047619045,2420.0,1.4349388928828182,-364.0
25,45,188,0.39361702127659576,534.5,1.0914300376325692,-1350.0,210,0.46190476190476193,2600.0,1.4424778761061947,-552.0
25,50,188,0.3776595744680851,804.5,1.1340386537820726,-1278.0,210,0.44285714285714284,2890.0,1.4750164365548981,-682.0
25,55,188,0.3670212765957447,1155.0,1.1891582050442189,-1238.0,210,0.41904761904761906,2906.0,1.4580706179066836,-672.0
25,60,188,0.35106382978723405,1187.5,1.1896358990737783,-1070.0,210,0.38095238095238093,2420.0,1.359797799583705,-662.0
30,20,188,0.675531914893617,1011.0,1.267318878900053,-728.0,210,0.7333333333333333,2380.0,1.685483870967742,-344.0
30,25,188,0.601063829787234,806.5,1.1763034211389223,-995.5,210,0.6714285714285714,2490.0,1.582047685834502,-304.0
30,30,188,0.5425531914893617,621.5,1.1192898272552783,-1319.0,210,0.6333333333333333,2940.0,1.6158357771260996,-314.0
30,35,188,0.4946808510638298,451.5,1.0782766990291262,-1529.0,210,0.6047619047619047,3450.0,1.6704236300038866,-434.0
30,40,188,0.4734042553191489,801.5,1.1332280585106382,-1321.0,210,0.5428571428571428,2890.0,1.4855510752688172,-538.0
30,45,188,0.43617021276595747,573.0,1.0888372093023255,-1331.5,210,0.5047619047619047,2863.5,1.4471075025372784,-838.0
30,50,188,0.4148936170212766,723.0,1.1079426694535681,-1361.5,210,0.49047619047619045,3363.5,1.510355815188529,-878.0
30,55,188,0.3882978723404255,603.5,1.0861158675799087,-1621.0,210,0.4666666666666667,3429.5,1.4969929715238026,-991.5
30,60,188,0.3670212765957447,397.0,1.0547133406835723,-1399.5,210,0.41904761904761906,2613.5,1.3495619608105396,-901.5
35,20,188,0.7021276595744681,1017.5,1.2565880721220528,-786.0,210,0.7666666666666667,2590.0,1.7341269841269842,-322.0
35,25,188,0.6382978723404256,983.0,1.2076468103084073,-721.0,210,0.7,2520.0,1.5555555555555556,-336.0
35,30,188,0.5851063829787234,898.0,1.166373320981936,-962.5,210,0.6523809523809524,2634.5,1.5012366818873668,-400.0
35,35,188,0.5425531914893617,858.0,1.1436343852013058,-1130.5,210,0.6238095238095238,3114.5,1.547556258790436,-504.0
35,40,188,0.526595744680851,1408.0,1.2274820260117942,-1020.5,210,0.5619047619047619,2454.5,1.3705464975845412,-743.5
35,45,188,0.48936170212765956,1209.5,1.180697691790543,-1070.5,210,0.5190476190476191,2228.0,1.3086513818660386,-1073.5
35,50,188,0.4627659574468085,1249.5,1.1771460976820018,-970.5,210,0.5047619047619047,2718.0,1.3655928441724392,-1123.5
35,55,188,0.43617021276595747,1081.5,1.1458825116341809,-1171.0,210,0.48095238095238096,2754.0,1.3533260632497273,-1247.0
35,60,188,0.4095744680851064,790.5,1.10255578619616,-960.5,210,0.43333333333333335,1868.0,1.220790733408191,-1157.0
40,20,188,0.7127659574468085,707.5,1.1625876134666207,-886.0,210,0.7714285714285715,2220.0,1.5640243902439024,-332.0
40,25,188,0.648936170212766,640.0,1.123719311811328,-760.0,210,0.7142857142857143,2235.5,1.454369918699187,-436.0
40,30,188,0.601063829787234,625.0,1.1069381469757893,-911.5,210,0.680952380952381,2690.0,1.4896250455041864,-438.0
40,35,188,0.5638297872340425,685.0,1.1067227545376646,-940.5,210,0.6523809523809524,3160.0,1.5278984296692282,-561.5
40,40,188,0.5478723404255319,1245.0,1.1868107134818817,-800.5,210,0.5904761904761905,2420.0,1.3431650595575724,-776.0
40,45,188,0.5159574468085106,1186.5,1.1657933347306644,-830.5,210,0.5571428571428572,2443.0,1.3230413223140496,-954.5
40,50,188,0.48936170212765956,1226.5,1.162096081411485,-738.0,210,0.5428571428571428,2963.0,1.379458282640712,-988.0
40,55,188,0.4627659574468085,1058.5,1.1327023130445684,-828.5,210,0.5190476190476191,3009.0,1.3661252053294397,-1101.5
40,60,188,0.43617021276595747,688.5,1.0828420166045,-830.0,210,0.48095238095238096,2493.0,1.2829578344021337,-991.5
45,20,188,0.7180851063829787,307.5,1.0642029439398684,-1066.5,210,0.7904761904761904,2260.0,1.558300395256917,-442.0
45,25,188,0.6595744680851063,300.0,1.0534854697807097,-1056.0,210,0.7333333333333333,2195.5,1.4261451863354038,-536.0
45,30,188,0.6170212765957447,375.0,1.0598229241445323,-1257.5,210,0.7047619047619048,2770.0,1.4856241234221599,-548.0
45,35,188,0.5904255319148937,666.5,1.0990562532510961,-969.5,210,0.6761904761904762,3230.0,1.516304347826087,-721.5
45,40,188,0.5691489361702128,1066.5,1.150285351934052,-938.5,210,0.6190476190476191,2561.0,1.349409918821202,-725.0
45,45,188,0.5319148936170213,798.0,1.1030941153672242,-1070.5,210,0.5857142857142857,2574.0,1.3258227848101265,-913.5
