cluster_low,cluster_high,cluster_size,position,near_border,fate
18245.75,18248.75,3,BELOW,18248.75,UNTOUCHED
18306.5,18309.25,3,BELOW,18309.25,UNTOUCHED
18353.0,18355.5,3,BELOW,18355.5,UNTOUCHED
18424.0,18427.5,3,BELOW,18427.5,UNTOUCHED
18441.0,18442.0,3,BELOW,18442.0,UNTOUCHED
19744.25,19747.5,5,BELOW,19747.5,UNTOUCHED
19797.5,19800.5,3,BELOW,19800.5,UNTOUCHED
19965.75,19967.75,3,BELOW,19967.75,UNTOUCHED
20012.75,20015.0,3,BELOW,20015.0,UNTOUCHED
20035.25,20039.0,4,BELOW,20039.0,UNTOUCHED
20061.75,20067.0,4,BELOW,20067.0,UNTOUCHED
20106.75,20109.75,3,BELOW,20109.75,UNTOUCHED
20148.75,20151.5,4,BELOW,20151.5,UNTOUCHED
20177.75,20181.0,3,BELOW,20181.0,UNTOUCHED
20186.75,20190.0,3,BELOW,20190.0,UNTOUCHED
20211.0,20214.25,3,BELOW,20214.25,UNTOUCHED
20229.75,20232.5,3,BELOW,20232.5,UNTOUCHED
20247.25,20259.25,10,BELOW,20259.25,UNTOUCHED
20393.0,20397.5,3,BELOW,20397.5,UNTOUCHED
20609.0,20612.5,3,BELOW,20612.5,UNTOUCHED
20994.75,21000.0,3,BELOW,21000.0,TRADED
21625.5,21631.25,5,ABOVE,21625.5,UNTOUCHED
