cluster_low,cluster_high,cluster_size,position,near_border,fate
17120.5,17121.75,3,BELOW,17121.75,UNTOUCHED
17629.75,17632.5,3,BELOW,17632.5,UNTOUCHED
17694.25,17696.5,3,BELOW,17696.5,UNTOUCHED
17738.25,17739.5,3,BELOW,17739.5,UNTOUCHED
17745.75,17747.5,3,BELOW,17747.5,UNTOUCHED
17788.5,17791.75,3,BELOW,17791.75,UNTOUCHED
17954.0,17956.25,3,BELOW,17956.25,UNTOUCHED
18015.25,18019.5,4,BELOW,18019.5,UNTOUCHED
18245.75,18248.75,3,BELOW,18248.75,UNTOUCHED
18306.5,18309.25,3,BELOW,18309.25,UNTOUCHED
18353.0,18355.5,3,BELOW,18355.5,UNTOUCHED
18424.0,18427.5,3,BELOW,18427.5,UNTOUCHED
18441.0,18442.0,3,BELOW,18442.0,UNTOUCHED
19744.25,19747.5,5,BELOW,19747.5,UNTOUCHED
19797.5,19800.5,3,BELOW,19800.5,UNTOUCHED
19965.75,19967.75,3,BELOW,19967.75,UNTOUCHED
20012.75,20015.0,3,BELOW,20015.0,UNTOUCHED
20035.25,20039.0,4,BELOW,20039.0,UNTOUCHED
20061.75,20067.0,4,BELOW,20067.0,UNTOUCHED
20106.75,20109.75,3,BELOW,20109.75,UNTOUCHED
20148.75,20151.5,4,BELOW,20151.5,UNTOUCHED
20177.75,20181.0,3,BELOW,20181.0,UNTOUCHED
20186.75,20190.0,3,BELOW,20190.0,UNTOUCHED
20211.0,20214.25,3,BELOW,20214.25,UNTOUCHED
20229.75,20232.5,3,BELOW,20232.5,UNTOUCHED
20247.25,20259.25,10,BELOW,20259.25,UNTOUCHED
20393.0,20397.5,3,BELOW,20397.5,UNTOUCHED
20609.0,20612.5,3,BELOW,20612.5,TRADED
