cluster_low,cluster_high,cluster_size,position,near_border,fate
22302.25,22304.25,3,BELOW,22304.25,UNTOUCHED
22728.5,22731.5,4,BELOW,22731.5,UNTOUCHED
22798.25,22800.5,3,BELOW,22800.5,UNTOUCHED
23677.25,23680.75,3,BELOW,23680.75,UNTOUCHED
23790.5,23791.75,3,BELOW,23791.75,UNTOUCHED
23956.75,23960.5,3,BELOW,23960.5,UNTOUCHED
24469.5,24473.0,3,BELOW,24473.0,UNTOUCHED
24612.25,24613.25,3,BELOW,24613.25,UNTOUCHED
24699.5,24703.75,3,BELOW,24703.75,UNTOUCHED
25179.0,25184.0,3,BELOW,25184.0,UNTOUCHED
25301.0,25304.25,3,BELOW,25304.25,TOUCHED_NOT_TRADED
25375.5,25380.0,3,BELOW,25380.0,TOUCHED_NOT_TRADED
25570.0,25576.5,6,ABOVE,25570.0,TRADED
25743.5,25746.5,3,ABOVE,25743.5,UNTOUCHED
25752.25,25754.0,3,ABOVE,25752.25,UNTOUCHED
25776.25,25779.25,3,ABOVE,25776.25,UNTOUCHED
25884.75,25889.5,4,ABOVE,25884.75,UNTOUCHED
25946.0,25947.75,5,ABOVE,25946.0,UNTOUCHED
25981.5,25984.5,3,ABOVE,25981.5,UNTOUCHED
26015.25,26019.5,3,ABOVE,26015.25,UNTOUCHED
26041.0,26045.25,4,ABOVE,26041.0,UNTOUCHED
26078.0,26080.0,3,ABOVE,26078.0,UNTOUCHED
26105.0,26109.25,4,ABOVE,26105.0,UNTOUCHED
26120.0,26122.75,3,ABOVE,26120.0,UNTOUCHED
26144.25,26146.25,3,ABOVE,26144.25,UNTOUCHED
26237.25,26241.5,3,ABOVE,26237.25,UNTOUCHED
